Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Table 6. Real Disposable Personal Income and Real Personal Consumption Expenditures: Percent Change from Month One Year Ago,,,,,,,,,
Line,,2023,2023,2023,2023,2023,2023,2023,2023
Line,,Feb.,March,April,May,June,July r,Aug. r,Sept. p
1,Disposable personal income,3.5,4.4,4.5,5,5.4,4.2,3.7,3.5
2,Personal consumption expenditures,2.3,1.7,1.6,1.8,2.1,2.6,2.3,2.4
3,Goods,1.7,0.4,0.4,1.3,1.8,2.9,2.4,2.4
4,Durable goods,4.1,2,1.4,4,4.3,4.8,4.4,5.5
5,Nondurable goods,0.4,-0.5,-0.1,-0.1,0.4,1.8,1.2,0.8
6,Services,2.6,2.5,2.2,2.1,2.2,2.5,2.2,2.4
p Preliminary,,,,,,,,,
r Revised,,,,,,,,,
Source: U.S. Bureau of Economic Analysis,,,,,,,,,
